2026-05-08 13:50:12 | INFO     | __main__ | **************************************************
2026-05-08 13:50:12 | INFO     | __main__ | BigQuery → GCS Pipeline (Production Mode)
2026-05-08 13:50:12 | INFO     | __main__ | Project:  norse-rampart-273715
2026-05-08 13:50:12 | INFO     | __main__ | Bucket:   gs://norse-rampart-273715-ml-datasets
2026-05-08 13:50:12 | INFO     | __main__ | BQ Dest:  norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 13:50:12 | INFO     | __main__ | **************************************************
2026-05-08 13:50:12 | INFO     | __main__ | Initializing BigQuery client for project: norse-rampart-273715
2026-05-08 13:50:12 | INFO     | __main__ | Initializing GCS client for project: norse-rampart-273715
2026-05-08 13:50:12 | INFO     | __main__ | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-05-08 13:50:12 | INFO     | __main__ | Step 1: BigQuery Transform → BQ Table
2026-05-08 13:50:12 | INFO     | __main__ | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-05-08 13:50:12 | INFO     | __main__ | Source: bigquery-public-data.hacker_news.comments
2026-05-08 13:50:12 | INFO     | __main__ | Dest:   norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 13:50:12 | INFO     | __main__ | Rows:   100,000
2026-05-08 13:50:12 | INFO     | __main__ | Running BigQuery transform job...
2026-05-08 14:19:10 | INFO     | __main__ | **************************************************
2026-05-08 14:19:10 | INFO     | __main__ | BigQuery → GCS Pipeline (Production Mode)
2026-05-08 14:19:10 | INFO     | __main__ | Project:  norse-rampart-273715
2026-05-08 14:19:10 | INFO     | __main__ | Bucket:   gs://norse-rampart-273715-ml-datasets
2026-05-08 14:19:10 | INFO     | __main__ | BQ Dest:  norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:19:10 | INFO     | __main__ | **************************************************
2026-05-08 14:19:10 | INFO     | __main__ | Initializing BigQuery client for project: norse-rampart-273715
2026-05-08 14:19:10 | INFO     | __main__ | Initializing GCS client for project: norse-rampart-273715
2026-05-08 14:19:10 | INFO     | __main__ | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-05-08 14:19:10 | INFO     | __main__ | Step 1: BigQuery Transform → BQ Table
2026-05-08 14:19:10 | INFO     | __main__ | ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
2026-05-08 14:19:10 | INFO     | __main__ | Source: bigquery-public-data.hacker_news.comments
2026-05-08 14:19:10 | INFO     | __main__ | Dest:   norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:19:10 | INFO     | __main__ | Rows:   100,000
2026-05-08 14:19:10 | INFO     | __main__ | Running BigQuery transform job...
2026-05-08 14:26:54 | INFO     | __main__ | **************************************************
2026-05-08 14:26:54 | INFO     | __main__ | BigQuery → GCS Pipeline (Production Mode)
2026-05-08 14:26:54 | INFO     | __main__ | Project:  norse-rampart-273715
2026-05-08 14:26:54 | INFO     | __main__ | Bucket:   gs://norse-rampart-273715-ml-datasets
2026-05-08 14:26:54 | INFO     | __main__ | BQ Dest:  norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:26:54 | INFO     | __main__ | **************************************************
2026-05-08 14:26:54 | INFO     | __main__ | Initializing BigQuery client for project: norse-rampart-273715
2026-05-08 14:26:54 | INFO     | __main__ | Initializing GCS client for project: norse-rampart-273715
2026-05-08 14:26:54 | INFO     | __main__ | **************************************************
2026-05-08 14:26:54 | INFO     | __main__ | Step 1: BigQuery Transform → BQ Table
2026-05-08 14:26:54 | INFO     | __main__ | ***************************************************
2026-05-08 14:26:54 | INFO     | __main__ | Source: bigquery-public-data.hacker_news.comments
2026-05-08 14:26:54 | INFO     | __main__ | Dest:   norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:26:54 | INFO     | __main__ | Rows:   100,000
2026-05-08 14:26:54 | INFO     | __main__ | Running BigQuery transform job...
2026-05-08 14:37:21 | INFO     | __main__ | **************************************************
2026-05-08 14:37:21 | INFO     | __main__ | BigQuery → GCS Pipeline (Production Mode)
2026-05-08 14:37:21 | INFO     | __main__ | Project:  norse-rampart-273715
2026-05-08 14:37:21 | INFO     | __main__ | Bucket:   gs://norse-rampart-273715-ml-datasets
2026-05-08 14:37:21 | INFO     | __main__ | BQ Dest:  norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:37:21 | INFO     | __main__ | **************************************************
2026-05-08 14:37:21 | INFO     | __main__ | Initializing BigQuery client for project: norse-rampart-273715
2026-05-08 14:37:21 | INFO     | __main__ | Initializing GCS client for project: norse-rampart-273715
2026-05-08 14:37:21 | INFO     | __main__ | **************************************************
2026-05-08 14:37:21 | INFO     | __main__ | Step 1: BigQuery Transform → BQ Table
2026-05-08 14:37:21 | INFO     | __main__ | ***************************************************
2026-05-08 14:37:21 | INFO     | __main__ | Source: bigquery-public-data.hacker_news.comments
2026-05-08 14:37:21 | INFO     | __main__ | Dest:   norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:37:21 | INFO     | __main__ | Rows:   100,000
2026-05-08 14:37:21 | INFO     | __main__ | Running BigQuery transform job...
2026-05-08 14:44:42 | INFO     | __main__ | **************************************************
2026-05-08 14:44:42 | INFO     | __main__ | BigQuery → GCS Pipeline (Production Mode)
2026-05-08 14:44:42 | INFO     | __main__ | Project:  norse-rampart-273715
2026-05-08 14:44:42 | INFO     | __main__ | Bucket:   gs://norse-rampart-273715-ml-datasets
2026-05-08 14:44:42 | INFO     | __main__ | BQ Dest:  norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:44:42 | INFO     | __main__ | **************************************************
2026-05-08 14:44:42 | INFO     | __main__ | Initializing BigQuery client for project: norse-rampart-273715
2026-05-08 14:44:42 | INFO     | __main__ | Initializing GCS client for project: norse-rampart-273715
2026-05-08 14:44:42 | INFO     | __main__ | **************************************************
2026-05-08 14:44:42 | INFO     | __main__ | Step 1: BigQuery Transform → BQ Table
2026-05-08 14:44:42 | INFO     | __main__ | ***************************************************
2026-05-08 14:44:42 | INFO     | __main__ | Source: bigquery-public-data.hacker_news.full
2026-05-08 14:44:42 | INFO     | __main__ | Dest:   norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:44:42 | INFO     | __main__ | Rows:   100,000
2026-05-08 14:44:42 | INFO     | __main__ | Running BigQuery transform job...
2026-05-08 14:47:31 | INFO     | __main__ | **************************************************
2026-05-08 14:47:31 | INFO     | __main__ | BigQuery → GCS Pipeline (Production Mode)
2026-05-08 14:47:31 | INFO     | __main__ | Project:  norse-rampart-273715
2026-05-08 14:47:31 | INFO     | __main__ | Bucket:   gs://norse-rampart-273715-ml-datasets
2026-05-08 14:47:31 | INFO     | __main__ | BQ Dest:  norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:47:31 | INFO     | __main__ | **************************************************
2026-05-08 14:47:31 | INFO     | __main__ | Initializing BigQuery client for project: norse-rampart-273715
2026-05-08 14:47:31 | INFO     | __main__ | Initializing GCS client for project: norse-rampart-273715
2026-05-08 14:47:31 | INFO     | __main__ | **************************************************
2026-05-08 14:47:31 | INFO     | __main__ | Step 1: BigQuery Transform → BQ Table
2026-05-08 14:47:31 | INFO     | __main__ | ***************************************************
2026-05-08 14:47:31 | INFO     | __main__ | Source: bigquery-public-data.hacker_news.full
2026-05-08 14:47:31 | INFO     | __main__ | Dest:   norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:47:31 | INFO     | __main__ | Rows:   100,000
2026-05-08 14:47:31 | INFO     | __main__ | Running BigQuery transform job...
2026-05-08 14:50:21 | INFO     | __main__ | **************************************************
2026-05-08 14:50:21 | INFO     | __main__ | BigQuery → GCS Pipeline (Production Mode)
2026-05-08 14:50:21 | INFO     | __main__ | Project:  norse-rampart-273715
2026-05-08 14:50:21 | INFO     | __main__ | Bucket:   gs://norse-rampart-273715-ml-datasets
2026-05-08 14:50:21 | INFO     | __main__ | BQ Dest:  norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:50:21 | INFO     | __main__ | **************************************************
2026-05-08 14:50:21 | INFO     | __main__ | Initializing BigQuery client for project: norse-rampart-273715
2026-05-08 14:50:21 | INFO     | __main__ | Initializing GCS client for project: norse-rampart-273715
2026-05-08 14:50:21 | INFO     | __main__ | **************************************************
2026-05-08 14:50:21 | INFO     | __main__ | Step 1: BigQuery Transform → BQ Table
2026-05-08 14:50:21 | INFO     | __main__ | ***************************************************
2026-05-08 14:50:21 | INFO     | __main__ | Source: bigquery-public-data.hacker_news.full
2026-05-08 14:50:21 | INFO     | __main__ | Dest:   norse-rampart-273715.hackernews_processed.comments_clean
2026-05-08 14:50:21 | INFO     | __main__ | Rows:   100,000
2026-05-08 14:50:21 | INFO     | __main__ | Running BigQuery transform job...
2026-05-08 14:50:28 | INFO     | __main__ | Transform complete in 6.4s
